,transaction_id,request_raw,transactionId,datetime,vehicleno,raw_vehicleno,top_class_name,front_class_name,front_class_name_top_camera,top_class_name_top_camera,final_front_class,final_top_class,lane_id,manual_check_reg,ANPR_frames_process,machineId,colour,material,quantity,rfid,response,status_code,statusMessage,LogID,Message
252,IND0041131120240100254,Found,IND0041131120240100254,13_11_2024_07_50_04,,A4366,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Green,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
253,IND0041131120240100255,Found,IND0041131120240100255,13_11_2024_07_50_33,RJ17GA5438,RJ17GA5438,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
254,IND0041131120240100256,Found,IND0041131120240100256,13_11_2024_07_53_17,RJ17GA6311,RJ17GA6311,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,Brown,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
255,IND0041131120240100257,Found,IND0041131120240100257,13_11_2024_07_55_50,,20241113075331,non_mining,hywa,hywa,mining_full,hywa,mining_full,1.0,2,4.0,41.0,Black,Brown_Sand,94.0,,Found,409,Record is not added as there is already a record with same TransactionId IND0041131120240100257 .,518927.0,Duplicate TransactionId
256,IND0041131120240100258,Found,IND0041131120240100258,13_11_2024_07_56_04,,20241113075345,Not_Found,truck,truck,covered,truck,covered,1.0,2,3.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
257,IND0041131120240100259,Found,IND0041131120240100259,13_11_2024_07_56_24,,20241113075405,non_mining,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
258,IND0041131120240100260,Found,IND0041131120240100260,13_11_2024_07_56_58,,20241113075439,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Brown,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
259,IND0041131120240100261,Found,IND0041131120240100261,13_11_2024_07_57_08,MP46H0671,MP46H0671,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,3.0,41.0,Black,Stone_crush_powder,93.0,,Found,409,Record is not added as there is already a record with same TransactionId IND0041131120240100261 .,519022.0,Duplicate TransactionId
260,IND0041131120240100262,Found,IND0041131120240100262,13_11_2024_07_57_10,,02411130754512,Not_Found,truck,truck,mining_full,truck,mining_full,1.0,2,1.0,41.0,Black,Stone_crush_powder,96.0,,Found,409,Record is not added as there is already a record with same TransactionId IND0041131120240100262 .,519014.0,Duplicate TransactionId
261,IND0041131120240100263,Found,IND0041131120240100263,13_11_2024_07_57_21,RJ06GD6192,RJ06GD6192,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,Grey_Silver,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
262,IND0041131120240100264,Found,IND0041131120240100264,13_11_2024_07_58_03,,20241113075544,non_mining,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
263,IND0041131120240100265,Found,IND0041131120240100265,13_11_2024_07_58_09,,20241113075550,non_mining,truck,truck,covered,truck,non_mining,1.0,2,4.0,41.0,Brown,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
264,IND0041131120240100266,Found,IND0041131120240100266,13_11_2024_07_58_28,,20241113075610,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
265,IND0041131120240100267,Found,IND0041131120240100267,13_11_2024_07_59_44,,20241113075725,non_mining,truck,truck,non_mining,truck,non_mining,1.0,2,2.0,41.0,Red,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
266,IND0041131120240100268,Found,IND0041131120240100268,13_11_2024_08_01_01,RJ09GB6140,RJ09GB6140,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
267,IND0041131120240100269,Found,IND0041131120240100269,13_11_2024_08_02_08,MP04GB5675,MP04GB5675,non_mining,truck,truck,covered,truck,non_mining,1.0,,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
268,IND0041131120240100270,Found,IND0041131120240100270,13_11_2024_08_02_12,,20241113075953,non_mining,truck,truck,non_mining,truck,non_mining,1.0,2,2.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
269,IND0041131120240100271,Found,IND0041131120240100271,13_11_2024_08_04_09,,20241113080150,non_mining,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
270,IND0041131120240100272,Found,IND0041131120240100272,13_11_2024_08_04_38,PB10HH5617,PB10HH5617,non_mining,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
271,IND0041131120240100273,Found,IND0041131120240100273,13_11_2024_08_05_07,RJ50GA6814,RJ50GA6814,Not_Found,truck,truck,covered,truck,covered,1.0,,3.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
272,IND0041131120240100274,Not Found,,,,,,,,,,,,,,,,,,,Not Found,,,,
273,IND0041131120240100275,Found,IND0041131120240100275,13_11_2024_08_09_33,CG07CK5327,CG07CK5327,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,Green,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
274,IND0041131120240100276,Found,IND0041131120240100276,13_11_2024_08_09_38,LG07CV9377,HOEY0,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
275,IND0041131120240100277,Found,IND0041131120240100277,13_11_2024_08_12_14,,20241113080955,covered,truck,truck,non_mining,truck,covered,1.0,2,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
276,IND0041131120240100278,Found,IND0041131120240100278,13_11_2024_08_13_40,MP37GA8061,MP37GA8061,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
277,IND0041131120240100279,Found,IND0041131120240100279,13_11_2024_08_14_56,MP04GA8376,MP04GA8376,non_mining,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
278,IND0041131120240100280,Found,IND0041131120240100280,13_11_2024_08_16_08,,20241113081349,Not_Found,truck,truck,covered,truck,covered,1.0,2,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
279,IND0041131120240100281,Found,IND0041131120240100281,13_11_2024_08_16_35,HR38AB7222,HR38AB7222,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
280,IND0041131120240100282,Found,IND0041131120240100282,13_11_2024_08_16_41,HR39E9878,HR39E9878,non_mining,hywa,hywa,covered,hywa,non_mining,1.0,,4.0,41.0,Brown,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
281,IND0041131120240100283,Found,IND0041131120240100283,13_11_2024_08_18_15,MP04LD8219,MP04LD8219,non_mining,mini_truck,mini_truck,non_mining,mini_truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
282,IND0041131120240100284,Found,IND0041131120240100284,13_11_2024_08_20_18,,20241113081800,non_mining,mini_truck,mini_truck,non_mining,mini_truck,non_mining,1.0,2,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
283,IND0041131120240100285,Found,IND0041131120240100285,13_11_2024_08_21_07,MP20HB7584,MP20HB7584,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
284,IND0041131120240100286,Found,IND0041131120240100286,13_11_2024_08_23_01,,202241113082042,non_mining,truck,truck,non_mining,truck,non_mining,1.0,2,1.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
285,IND0041131120240100287,Not Found,,,,,,,,,,,,,,,,,,,Not Found,,,,
286,IND0041131120240100288,Found,IND0041131120240100288,13_11_2024_08_24_58,,20241113082239,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,2,1.0,41.0,Green,Brown_Sand,93.0,,Found,200,Data Saved Successfully!,518879.0,Success
287,IND0041131120240100289,Found,IND0041131120240100289,13_11_2024_08_25_47,GJ15AV5025,GJ15AV5025,non_mining,truck,truck,covered,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
288,IND0041131120240100290,Found,IND0041131120240100290,13_11_2024_08_26_44,MP04GA7345,MP04GA7345,non_mining,mini_truck,mini_truck,non_mining,mini_truck,non_mining,1.0,,4.0,41.0,Grey_Silver,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
289,IND0041131120240100291,Found,IND0041131120240100291,13_11_2024_08_27_29,RJ27G0282,RJ27G0282,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Brown,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
290,IND0041131120240100292,Not Found,,,,,,,,,,,,,,,,,,,Not Found,,,,
291,IND0041131120240100293,Found,IND0041131120240100293,13_11_2024_08_28_54,GJ01ET0203,GJ01ET0203,non_mining,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
292,IND0041131120240100294,Not Found,,,,,,,,,,,,,,,,,,,Not Found,,,,
293,IND0041131120240100295,Not Found,,,,,,,,,,,,,,,,,,,Not Found,,,,
294,IND0041131120240100296,Found,IND0041131120240100296,13_11_2024_08_29_58,,20241113082739,Not_Found,truck,truck,covered,truck,covered,1.0,2,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
295,IND0041131120240100297,Found,IND0041131120240100297,13_11_2024_08_30_21,MP05ZB6693,MP05ZB6693,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
296,IND0041131120240100298,Found,IND0041131120240100298,13_11_2024_08_30_26,MP13GA5919,MP13GA5919,non_mining,truck,truck,covered,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
297,IND0041131120240100299,Found,IND0041131120240100299,13_11_2024_08_30_47,,20241113082828,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
298,IND0041131120240100300,Found,IND0041131120240100300,13_11_2024_08_32_45,MP21H1938,MP21H1938,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,3.0,41.0,Black,Stone_crush_powder,99.0,,Found,200,Data Saved Successfully!,518876.0,Success
299,IND0041131120240100301,Found,IND0041131120240100301,13_11_2024_08_32_57,MP21ZC6073,MP21ZC6073,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,4.0,41.0,Black,Stone_crush_powder,98.0,,Found,200,Data Saved Successfully!,518878.0,Success
300,IND0041131120240100302,Found,IND0041131120240100302,13_11_2024_08_33_22,MP05ZB6626,MP05ZB6626,non_mining,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
301,IND0041131120240100303,Found,IND0041131120240100303,13_11_2024_08_34_26,,20241113083207,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,2,4.0,41.0,Black,Brown_Sand,91.0,,Found,200,Data Saved Successfully!,518875.0,Success
