,id,datetime,top_class_name,front_class_name,lane_id,ANPR_frames_process,Processed,Raw_Top_Category_List,Raw_Front_Category_List,double_entry,final_top_class
961,IND0041201020240100504,20_10_2024_09_04_16,covered,truck,1,1,False,['covered'],['truck'],Yes,covered
962,IND0041201020240101020,20_10_2024_14_57_11,covered,mini_truck,1,4,True,"['covered', 'covered', 'covered']","['mini_truck', 'mini_truck', 'mini_truck']",No,covered
963,IND0041201020240101359,20_10_2024_18_43_51,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
964,IND0041201020240200630,20_10_2024_16_40_21,non_mining,mini_truck,2,3,False,"['non_mining', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
965,IND0041201020240100140,20_10_2024_02_28_40,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
966,IND0041201020240100867,20_10_2024_13_09_56,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
967,IND0041201020240101698,20_10_2024_23_24_01,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,Not_Found
968,IND0041201020240200180,20_10_2024_04_13_28,Not_Found,mini_truck,2,2,False,"['Not_Found', 'Not_Found', 'Not_Found']","['mini_truck', 'mini_truck', 'mini_truck', 'mini_truck']",No,covered
969,IND0041201020240100230,20_10_2024_04_30_22,Not_Found,truck,1,1,False,"['Not_Found', 'Not_Found', 'non_mining']","['truck', 'truck', 'truck', 'truck', 'truck']",No,non_mining
970,IND0041201020240101591,20_10_2024_21_40_21,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
971,IND0041201020240101564,20_10_2024_21_17_47,Not_Found,truck,1,1,False,"['Not_Found', 'Not_Found', 'Not_Found']","['hywa', 'truck', 'truck']",No,covered
972,IND0041201020240200544,20_10_2024_13_53_00,non_mining,truck,2,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
973,IND0041201020240101528,20_10_2024_20_45_10,non_mining,mini_truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
974,IND0041201020240100025,20_10_2024_00_26_06,Not_Found,truck,1,3,True,"['Not_Found', 'Not_Found']","['truck', 'truck']",No,non_mining
975,IND0041201020240101247,20_10_2024_17_27_20,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
976,IND0041201020240101611,20_10_2024_22_01_42,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
977,IND0041201020240200617,20_10_2024_16_04_31,Not_Found,mini_truck,2,1,False,['Not_Found'],['mini_truck'],No,Not_Found
978,IND0041201020240100453,20_10_2024_08_39_29,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
979,IND0041201020240100250,20_10_2024_05_01_26,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
980,IND0041201020240200780,20_10_2024_20_13_19,Not_Found,truck,2,3,False,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck']",No,non_mining
981,IND0041201020240200681,20_10_2024_17_49_17,non_mining,truck,2,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
982,IND0041201020240100676,20_10_2024_11_01_10,covered,truck,1,4,True,"['covered', 'covered', 'covered']","['truck', 'truck', 'truck']",No,covered
983,IND0041201020240200347,20_10_2024_09_15_46,non_mining,truck,2,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
984,IND0041201020240200855,20_10_2024_22_50_17,non_mining,mini_truck,2,1,False,"['non_mining', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
985,IND0041201020240100690,20_10_2024_11_15_31,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
986,IND0041201020240100248,20_10_2024_04_53_58,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck', 'truck']",No,Not_Found
987,IND0041201020240101132,20_10_2024_16_07_50,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
988,IND0041201020240200073,20_10_2024_01_36_02,Not_Found,mini_truck,2,2,False,['Not_Found'],['mini_truck'],No,non_mining
989,IND0041201020240101046,20_10_2024_15_12_39,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
990,IND0041201020240100378,20_10_2024_07_48_56,Not_Found,truck,1,4,True,"['Not_Found', 'non_mining', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
991,IND0041201020240100578,20_10_2024_09_58_34,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
992,IND0041201020240100617,20_10_2024_10_30_04,Not_Found,truck,1,3,True,"['Not_Found', 'Not_Found']","['truck', 'truck']",No,covered
993,IND0041201020240200210,20_10_2024_04_49_03,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,Not_Found
994,IND0041201020240100109,20_10_2024_01_34_26,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
995,IND0041201020240101236,20_10_2024_17_21_00,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
996,IND0041201020240101130,20_10_2024_16_07_18,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
997,IND0041201020240101507,20_10_2024_20_34_32,Not_Found,truck,1,2,False,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck']",No,non_mining
